,Company,Valuation ($B),City,Industry,Select Investors
0,Stripe,95.0,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG"
1,SpaceX,74.0,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
2,Instacart,39.0,San Francisco,"Supply chain, logistics,,delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
3,Epic Games,28.7,Cary,Other,"Tencent Holdings, KKR, Smash Ventures"
4,Databricks,28.0,San Francisco,"Data management,analytics","Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
5,Rivian,27.6,Plymouth,"Auto,transportation","Amazon, Ford Motor Company, Cox Automotive"
6,Chime,14.5,San Francisco,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew"
7,Plaid Technologies,13.4,San Francisco,Fintech,"New Enterprise Associates, Spar Capital, Index Ventures"
8,Fanatics,12.8,Jacksonville,"E-commerce,direct-to-consumer","SoftBank Group, Andreessen Horowitz, Temasek Holdings"
9,JUUL Labs,12.0,San Francisco,"Consumer,retail",Tiger Global Management
10,Biosplice Therapeutics,12.0,San Diego,Health,"Vickers Venture Partners, IKEA GreenTech"
11,Robinhood,11.7,Menlo Park,Fintech,"Google Ventures, Andreessen Horowitz, DST Global"
12,Aurora,10.0,Mountain View,"Auto,transportation","Index Ventures, Greylock Partners, Lightspeed Venture Partners"
13,Ripple,10.0,San Francisco,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners"
14,Figma,10.0,San Francisco,"Internet software,services","Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
15,OutSystems,9.5,Boston,"Internet software,services","KKR, ES Ventures, North Bridge Growth Equity"
16,Klaviyo,9.2,Boston,"Internet software,services","Summit Partners, Accel, Astral Capital"
17,Roivant Sciences,9.09,New York,Health,"SoftBankGroup, Founders Fund"
18,Tanium,9.0,Kirkland,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
19,GoPuff,8.9,Philadelphia,"E-commerce,direct-to-consumer","Accel, Softbank Group, Anthos Capital"
20,ServiceTitan,8.3,Glendale,"Internet software,services","Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
21,Tempus,8.1,Chicago,Health,"New Enterprise Associates, T. Rowe Associates, Lightbank"
22,Caris Life Sciences,7.83,Irving,Health,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
23,Brex,7.4,San Francisco,Fintech,"DST Global, Ribbit Capital, Greenoaks Capital Management"
24,Scale AI,7.3,San Francisco,Artificial intelligence,"Accel, Y Combinator, Index Ventures"
25,Argo AI,7.25,Pittsburgh,Artificial intelligence,"Volkswagen Group, Ford Autonomous Vehicles"
26,Gong,7.25,Palo Alto,Artificial intelligence,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
27,Discord,7.0,San Francisco,"Internet software,services","Benchmark, Greylock Partners, Tencent Holdings"
28,Faire,7.0,San Francisco,Artificial intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
29,Automation Anywhere,6.8,San Jose,Artificial intelligence,"General Atlantic, Goldman Sachs, New Enterprise Associates"
30,Compass,6.4,New York,"E-commerce,direct-to-consumer","Founders Fund, Thrive Capital, Wellington Management"
31,Samsara Networks,6.3,San Francisco,Hardware,"Andreessen Horowitz, General Catalyst"
32,Black Unicorn Factory,6.1,Los Angeles,Other,Barter Ventures
33,reddit,6.0,San Francisco,"Internet software,services","Y Combinator, Sequoia Capital, Coatue Management"
34,GitLab,6.0,San Francisco,"Internet software,services","Google Ventures, ICONIQ Capital, Khosla Ventures"
35,Thrasio,6.0,Walpole,Other,"Upper90, RiverPark Ventures, Advent International"
36,Better.com,6.0,New York,Fintech,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
37,Airtable,5.77,San Francisco,"Internet software,services","Caffeinated Capital, CRV, Founder Collective"
38,Vice Media,5.7,Brooklyn,"Internet software,services","Technology Crossover Ventures, A&E Television Networks"
39,Pony.ai,5.3,Fremont,Artificial intelligence,"Sequoia Capital China, IDG Capital, DCM Ventures"
40,HashiCorp,5.1,San Francisco,"Internet software,services","Redpoint Ventures, True Ventures, Mayfield Fund"
41,OneTrust,5.1,Atlanta,"Internet software,services",Insight Partners
42,TripActions,5.0,Palo Alto,Travel,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
43,Nuro,5.0,Mountain View,"Auto,transportation","SoftBank Group, Greylock Partners, Gaorong Capital"
44,Ro,5.0,New York,Health,"Initialized Capital, General Catalyst, SignalFire"
45,SambaNova Systems,5.0,Palo Alto,"Data management,analytics","Walden International, Google Ventures, Intel Capital"
46,Toast,4.9,Boston,Fintech,"Bessemer Venture Partners, Tiger Global Management, Google Ventures"
47,Magic Leap,4.82,Plantation,Hardware,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
48,Anduril,4.6,Irvine,Artificial intelligence,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
49,Lyra Health,4.6,Burlingame,Health,"Greylock Partners, Venrock, Providence Ventures"
50,Zenefits,4.5,San Francisco,Fintech,"SV Angel, Institutional Venture Partners, Venrock"
51,Outreach,4.4,Seattle,"Internet software,services","Mayfield Fund, M12, Trinity Ventures"
52,Ginkgo BioWorks,4.2,Boston,Health,"Y Combinator, Data Collective, MassVentures"
53,Relativity Space,4.2,Inglewood,Other,"Playground Global, Bond, Tribe Capital"
54,Chainalysis,4.2,New York,Fintech,"Addition, Benhcmark, Accel"
55,Amplitude,4.15,San Francisco,"Data management,analytics","Benchmark, Battery Ventures, Institutional Venture Partners"
56,Dataminr,4.1,New York,Artificial intelligence,"Venrock, Institutional Venture Partners, Goldman Sachs"
57,Houzz,4.0,Palo Alto,"E-commerce,direct-to-consumer","New Enterprise Associates, Sequoia Capital, Comcast Ventures"
58,Niantic,4.0,San Francisco,"Mobile,telecommunications","Nintendo, Google, Pokemon Company International, Spark Capital"
59,Impossible Foods,4.0,Redwood City,"Consumer,retail","Khosla Ventures, Horizons Ventures, Temasek Holdings"
60,Radiology Partners,4.0,El Segundo,Health,"New Enterprise Associates, Starr Investment Holdings"
61,Next Insurance,4.0,Palo Alto,Fintech,"Zeev Ventures, Ribbit Capital, TLV Partners"
62,Patreon,4.0,San Francisco,"Internet software,services","Index Ventures, Thrive Capital, CRV"
63,Zapier,4.0,Sunnyvale,"Internet software,services","Sequoia Capital, Bessemer Venture Partners, Threshold Ventures"
64,Clubhouse,4.0,San Francisco,"Mobile,telecommunications","Andreessen Horowitz, TQ Ventures"
65,Benchling,4.0,San Francisco,"Internet software,services","Thrive Capital, Benchmark, MenloVentures"
66,Intarcia Therapeutics,3.8,Boston,Health,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
67,Gusto,3.8,San Francisco,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
68,StockX,3.8,Detroit,"E-commerce,direct-to-consumer","Google Ventures, Battery Ventures, DST Global"
69,Devoted Health,3.78,Waltham,Health,"Andreessen Horowitz, F-Prime Capital, Venrock"
70,Guild Education,3.75,Denver,"Internet software,services","Redpoint Ventures, Harrison Metal, Bessemer Venture Partners"
71,Cohesity,3.7,San Jose,"Data management,analytics","SoftBank Group, Sequoia Capital, Wing Venture Capital"
72,VAST Data,3.7,New York,"Data management,analytics","Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
73,GOAT,3.7,Culver City,"E-commerce,direct-to-consumer","Upfront Ventures, Webb Investment Network, D1 Capital Partners"
74,Noom,3.7,New York,Health,"Qualcomm Ventures, Samsung Ventures, Silver Lake"
75,Relativity,3.6,Chicago,"Internet software,services","Silver Lake, ICONIQ Capital"
76,Indigo Ag,3.5,Boston,Artificial intelligence,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
77,Freshworks,3.5,San Mateo,"Internet software,services","Accel, Tiger Global Management, capitalG"
78,Rubrik,3.3,Palo Alto,"Data management,analytics","Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
79,Sila Nanotechnologies,3.3,Alameda,Other,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
80,Blend,3.3,San Francisco,Fintech,"Lightspeed Venture Partners, 8VC, Greylock Partners"
81,Scopely,3.3,Culver City,"Mobile,telecommunications","Greycroft, Sands Capital, Revolution Growth"
82,Komodo Health,3.3,San Francisco,Health,"Andreessen Horowitz, IA Ventures, Felicis Ventures"
83,Thumbtack,3.2,San Francisco,"E-commerce,direct-to-consumer","Tiger Global, Sequoia Capital, Google Capital"
84,Flexport,3.2,San Francisco,"Supply chain, logistics,,delivery","Bloomberg Beta, Founders Fund, First Round Capital"
85,Figure Technologies,3.2,San Francisco,Fintech,"DCM Ventures, Ribbit Capital, RPM Ventures"
86,Udemy,3.2,San Francisco,Edtech,"MHS Capital, Insight Partners, Norwest Venture Partners"
87,Cedar,3.2,New York,Fintech,"Thrive Capital, Founders Fund, Cocnord Health Partners"
88,HighRadius,3.1,Houston,Fintech,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
89,SentinelOne,3.1,Mountain View,Cybersecurity,"Granite Hill Capital Partners, Data Collective, Tiger Global Management"
90,Warby Parker,3.0,New York,"E-commerce,direct-to-consumer","BoxGroup, Felicis Ventures, First Round Capital"
91,Circle Internet Financial,3.0,Boston,Fintech,"General Catalyst, Digital Currency Group, Accel"
92,Talkdesk,3.0,San Francisco,"Internet software,services","DJF, Salesforce Ventures, Storm Ventures"
93,Netskope,3.0,Santa Clara,Cybersecurity,"Lightspeed Venture Partners, Social Capital, Accel"
94,Forter,3.0,New York,Cybersecurity,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
95,Hinge Health,3.0,San Francisco,Health,"Atomico, Insight Partners, Coatue Management"
96,Calendly,3.0,Atlanta,"Internet software,services","ICONIQ Capital, OpenView Venture Partners"
97,BlockFi,3.0,Jersey City,Fintech,"ConsenSys Ventures, Valar Ventures, PUC"
98,ActiveCampaign,3.0,Chicago,"Internet software,services","Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
99,Kraken,2.92,San Francisco,Fintech,"Bnk To The Future, Trammell Ventures, SBI Investment"
100,OpenAI,2.92,San Francisco,Artificial intelligence,Khosla Ventures
101,Workrise,2.9,Austin,"Internet software,services","Founders Fund, Quantum Energy Partners, Bedrock Capital"
102,Bird Rides,2.85,Santa Monica,"Auto,transportation","Tusk Ventures, Craft Ventures, Sequoia Capital"
103,Icertis,2.8,Bellevue,Artificial intelligence,"Eight Roads Ventures, Greycroft, Ignition Partners"
104,DataRobot,2.8,Boston,Artificial intelligence,"New Enterprise Associates, Accomplice, IA Ventures"
105,Weee!,2.8,Fremont,"Supply chain, logistics,,delivery","Goodwater Capital, iFly, XVC Venture Capital"
106,Illumio,2.75,Sunnyvale,Cybersecurity,"Data Collective, Formation 8, General Catalyst Partners"
107,Convoy,2.75,Seattle,"Supply chain, logistics,,delivery","Greylock Partners, capitalG, Y Combinator"
108,MasterClass,2.75,San Francisco,Edtech,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
109,Tradeshift,2.7,San Francisco,Fintech,"Notion Capital, Scentan Ventures, Kite Ventures"
110,Sidecar Health,2.5,El Segundo,Fintech,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures"
111,AvidXchange,2.42,Charlotte,Fintech,"Temasek Holdings, Charlotte Angel Partners, TPG Growth"
112,Carbon,2.4,Redwood City,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group"
113,Duolingo,2.4,Pittsburgh,Education,"capitalG, Union Square Ventures, New Enterprise Associates"
114,Paxos,2.4,New York,Fintech,"Liberty City Ventures, RRE Ventures, Mithril Capital Management"
115,Exabeam,2.4,Foster City,Cybersecurity,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners"
116,Uptake,2.3,Chicago,Artificial intelligence,"Revolution, New Enterprise Associates, Caterpillar"
117,KeepTruckin,2.3,San Francisco,"Supply chain, logistics,,delivery","Google Ventures, Index Ventures, Scale Venture Partners"
118,Skydance Media,2.3,Santa Monica,Other,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
119,Greenlight,2.3,Atlanta,Fintech,"Relay Ventures, TTV Capital, Canapi Ventures"
120,Highspot,2.3,Seattle,"Internet software,services","Madrona Venture Group, Shasta Ventures, Salesforce Ventures"
121,Bowery Farming,2.3,New York,Other,"Temasek, Google Ventures, General Catalyst"
122,Zume,2.25,Mountain View,"Consumer,retail","Softbank Group, AME Cloud Ventures, SignalFire"
123,Via,2.25,New York,"Auto,transportation","83North, RiverPark Ventures, Pitango Venture Capital"
124,Planet Labs,2.2,San Francisco,Other,"Threshold Ventures, O'Reilly AlphaTech Ventures, Data Collective"
125,Checkr,2.2,San Francisco,"Internet software,services","Y Combinator, Accel, T. Rowe Price"
126,Attentive,2.2,Hoboken,"Mobile,telecommunications","NextView Ventures, Eniac Ventures, Sequoia Capital"
127,Current,2.2,New York,Fintech,"Expa, QED Investors, Foundation Capital"
128,Addepar,2.17,Mountain View,Fintech,"8VC, D1 Capital Partners, Sway Ventures"
129,Cockroach Labs,2.16,New York,"Data management,analytics","Google Ventures, Benchmark, FirstMark Capital"
130,Nextdoor,2.1,San Francisco,"Internet software,services","Benchmark Capital, DAG Ventures, Insight Venture Partners"
131,Eightfold.ai,2.1,Santa Clara,"Internet software,services","Foundation Capital, Institutional Venture Partners, General Catalyst"
132,Webflow,2.1,San Francisco,"Internet software,services","Accel, Silversmith Capital Partners, capitalG"
133,6Sense,2.1,San Francisco,Artificial intelligence,"Venrock, Battery Ventures, Insight Partners"
134,ReCharge,2.1,Los Angeles,Fintech,"ICONIQ Growth, Bain Capital Ventures, Summit Partners"
135,ThoughtSpot,2.05,Sunnyvale,"Internet software,services","Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
136,Avant,2.0,Chicago,Artificial intelligence,"RRE Ventures, Tiger Global, August Capital"
137,Quanergy Systems,2.0,Sunnyvale,"Auto,transportation","Delphi Automotive, Samsung Ventures, Motus Ventures"
138,Quora,2.0,Mountain View,"Internet software,services","Y Combinator, Matrix Partners, Benchmark"
139,LegalZoom,2.0,Glendale,"Internet software,services","K1 Capital, Francisco Partners, Neuberger Berman"
140,Formlabs,2.0,Somerville,Hardware,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
141,Calm,2.0,San Francisco,"Consumer,retail","Insight Venture Partners, TPG Growth, Sound Ventures"
142,Kaseya,2.0,Miami,Cybersecurity,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
143,Druva,2.0,Sunnyvale,"Data management,analytics","Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
144,AppsFlyer,2.0,San Francisco,"Mobile,telecommunications","Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
145,Notion Labs,2.0,San Francisco,"Internet software,services","Index Ventures, Draft Ventures, Felicis Ventures"
146,Postman,2.0,San Francisco,"Internet software,services","Nexus Venture Partners, CRV, Insight Partners"
147,Redis Labs,2.0,Mountain View,"Data management,analytics","Viola Ventures, Dell Technologies Capital, Bain Capital Ventures"
148,Tipalti,2.0,San Mateo,Fintech,"01 Advisors, Zeev Ventures, Group 11"
149,Unqork,2.0,New York,Fintech,"Blackrock, capitalG, World Lab Innovation"
150,Virta Health,2.0,San Francisco,Health,"Caffeinated Capital, Obvious Ventures, Venrock"
151,ISN,2.0,Dallas,"Supply chain, logistics,,delivery",Blackstone
152,Hive,2.0,San Francisco,Artificial intelligence,"Tomales Bay Capital, Bain & Company, General Catalyst"
153,Kajabi,2.0,Irvine,"Internet software,services","Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
154,Ethos Technologies,2.0,San Francisco,Fintech,"Sequoia Capital, Google Ventures, Accel"
155,Pipe,2.0,Miami,Fintech,"next47, MaC Venture Capital, FinVC"
156,Iterable,2.0,San Francisco,"Internet software,services","CRV, Blue Cloud Ventures, Index Ventures"
157,InVision,1.9,New York,"Internet software,services","FirstMark Capital, Tiger Global Management, ICONIQ Capital"
158,MX Technologies,1.9,Lehi,Fintech,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures"
159,Aledade,1.9,Bethesda,Health,"Venrock, CVF Capital Partners, ARCH Venture Partners"
160,SpotOn,1.88,San Francisco,Fintech,"Dragoneer Investment Group, DST Global, Franklin Templeton"
161,Automattic,1.8,San Francisco,"Internet software,services","Insight Venture Partners, Lowercase Capital, Polaris Partners"
162,ZocDoc,1.8,New York,Health,"Founders Fund, Khosla Ventures, Goldman Sachs"
163,Diamond Foundry,1.8,San Francisco,Other,"Fashion Tech Lab, Fidelity Investments, Vast Ventures"
164,Farmers Business Network,1.75,San Carlos,Other,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures"
165,BetterUp,1.73,San Francisco,"Internet software,services","Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
166,Buzzfeed,1.7,New York,"Internet software,services","SV Angel, RRE Ventures, New Enterprise Associates"
167,Harry's Razor Company,1.7,New York,"Consumer,retail","Thrive Capital, Tiger Global Management, Temasek"
168,Allbirds,1.7,San Francisco,"E-commerce,direct-to-consumer","Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management"
169,PAX,1.7,San Francisco,"Consumer,retail","Tao Capital Partners, Global Asset Capital, Tiger Global Management"
170,Carta,1.7,San Francisco,Fintech,"Menlo Ventures, Spark Capital, Union Square Ventures"
171,Workato,1.7,Mountain View,"Internet software,services","Battery Ventures, Storm Ventures, Redpoint Ventures"
172,Harness,1.7,San Francisco,Artificial intelligence,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
173,DispatchHealth,1.7,Denver,Health,"Alta Partners, Questa Capital, Echo Health Venturesl"
174,Dutchie,1.7,Bend,"E-commerce,direct-to-consumer","Casa Verde Capital, Gron Ventures, Thrity Five Ventures"
175,Unite Us,1.7,New York,Health,"Insight Partners, Sequoia Capital, Index Ventures"
176,CircleCI,1.7,San Francisco,"Internet software,services","Threshold Ventures, Baseline Ventures, Harrison Metal"
177,XANT,1.65,Lehi,Artificial intelligence,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers"
178,Trader Interactive,1.63,Norfolk,Other,Carsales
179,Infinidat,1.6,Waltham,Hardware,"TPG Growth, Goldman Sachs"
180,sweetgreen,1.6,Culver City,"Consumer,retail","Red Sea Ventures, Fidelity Investments, Revolution"
181,Seismic,1.6,San Diego,"Internet software,services","Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
182,Verkada,1.6,San Mateo,Cybersecurity,"next47, First Round Capital, Sequoia Capital"
183,Clari,1.6,Sunnyvale,"Internet software,services","Sequoia Capital, Bain Capital Ventures, enaya Capital"
184,Ramp Financial,1.6,New York,Fintech,"D1 Capital Partners, Stripe, Coatue Management"
185,Tonal,1.6,San Francisco,"E-commerce,direct-to-consumer","Mayfield Fund, Shasta Ventures, L Catterton"
